,video_id,title,channel_id,channel_title,view_count,like_count,comment_count,wikipedia_categories,duration
561,GXzsUdNpiwE,Kirikou Akili - Ready (Official Music Video),UCqYNg_aU09T-PNdupL0Ka6Q,Kirikou A-kili,205789,19763,1400,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M37S
562,HiMofsRHaM4,Shinta Arsinta - Lilakno Aku | Sagita Djandhut Assololley | Dangdut (Official Music Video),UC7J5Aaa2VxR3YNsewikrrqg,ENY'S PRODUCTION,189358,2116,224,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Rock_music']",PT5M22S
563,KP45IRo4z5o,Rihanna - Work (Official Music Video) ft. Drake,UCssnm-hrkKjkTgRo-9p8D1w,I'm a Warrior አርበኛው TV,181059,6034,0,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT16S
564,_td7ilyLBgY,Shotgun Willy - Good Morning Vietnam (Official Music Video),UCTg6Jny4X_LteWGccXf596Q,Shotgun Willy,181172,21812,1858,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M20S
565,WZA1dzcPfMw,Nhance - Steady (Official Music Video),UCJ8yO5JZspIcRdcAbYWugsQ,Nhance Music,185846,8479,234,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT4M18S
566,PWVTsAHSocQ,Niken Salindry feat. Fallden - Pupusing Nelongso- Kembar Campursari ( Official Music Video ),UCHuJsCg-KjFBU3uZMFIonkQ,Kembar Music Digital,168746,4769,684,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia']",PT6M25S
567,1OHCSTZwOLE,Skeng - Taboo | Official Music Video,UCapH8j0tQIs3KafImI9YqIQ,SkengVEVO,154439,18289,811,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M29S
568,pwSzPtqyESI,ATARASHII GAKKO! - Toryanse (Official Music Video),UCZW5lIUz93q_aZIkJPAC0IQ,88rising,148930,13267,649,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M40S
569,Hw0nBYfLikk,Lil Dicky - Morning After (Official Music Video),UC8rVJyj4zE0S9-sccMLifIA,Lil Dicky,157367,6885,305,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT3M7S
570,AQY4W_cL9D0,‘reason’ official music video is out now on YouTube,UCSUVM9Ygr6AI5Eje5BnFhtw,Omah Lay,132779,7103,145,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT15S
571,hATYoXwunIQ,Pheelz ft Olamide - Joy (Official Music Video),UC2ATJOoUQi2OdX4fqDXweNg,Pheelz,127044,4821,388,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M46S
572,E34yrHvZ6vI,Lil Dicky - I Love Myself (Official Music Video),UC8rVJyj4zE0S9-sccMLifIA,Lil Dicky,118282,4260,368,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT2M7S
573,wP4ZxxJCVSI,Juicy Luicy - HAHAHA (Official Music Video),UC-xvCsGXsWl8-0uv36GnuhA,Emotion Entertainment,116971,8889,718,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT3M15S
574,5_bl1BP6bvU,"Paul McCartney, Wings - Helen Wheels (Official Music Video)",UCX-3R99NH4nKAubjlSiNhcw,PaulMcCartneyVEVO,113265,7207,597,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music', 'https://en.wikipedia.org/wiki/Rock_music']",PT3M39S
575,qR1cJulK8a0,BẦU TRỜI TÌNH YÊU | KAIRON x SIMMY | Official Music Video,UC4a-X5hVObCuHWlAZcbXG0g,Kairon TV,115282,7616,1302,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M3S
576,c7lUgghy3Ao,Caskey - Old Ways (Official Music Video),UC25on1Hd6Zbx1baZ-IgQ39g,Caskey,134861,7333,628,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT2M46S
577,6wpkknxMzyE,Arief - Remehan Orang Tuamu (Official Music Video),UCmiJjv8BbzLahKpsfkQaBnA,Arief Putra,98867,4254,485,"['https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Music_of_Asia', 'https://en.wikipedia.org/wiki/Pop_music']",PT4M59S
578,WZMkwpO4Ji8,Tierra Whack - SHOWER SONG (Official Music Video),UCu8FLIExXI7of239SoAizlg,TierraWhackVEVO,94594,4981,336,['https://en.wikipedia.org/wiki/Music'],PT1M27S
579,7D8Ii3qEY9k,ZillaKami x SosMula - Pros (Official Music Video),UC_EucbjTiD1OQ6IV-l2uCJA,City Morgue,91011,12726,782,"['https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music', 'https://en.wikipedia.org/wiki/Rock_music']",PT2M
580,P28eJafMaGE,Felo Le Tee &amp; Focalistic - Ka Lekeke (Official Music Video),UCQ1qJ99oI0qbnHz4oFViVKg,Felo Le Tee,89352,5345,232,"['https://en.wikipedia.org/wiki/Electronic_music', 'https://en.wikipedia.org/wiki/Hip_hop_music', 'https://en.wikipedia.org/wiki/Music']",PT4M8S
